Date,Open,High,Low,Close,Adj Close,Volume
2016-02-16,95.989998,97.279999,95.699997,96.510002,86.277351,114943000
2016-02-17,96.510002,99.379997,96.050003,99.199997,88.682137,114840150
2016-02-18,99.900002,102.800003,99.750000,102.699997,91.811043,125646250
2016-02-19,101.989998,103.570000,101.000000,101.500000,90.738274,171600390
2016-02-22,102.570000,104.389999,102.389999,103.199997,92.258034,66187510
2016-02-24,102.000000,102.699997,100.790001,102.099998,91.274666,89140580
2016-02-25,102.650002,104.349998,101.510002,104.050003,93.017914,110333690
2016-02-26,105.000000,107.150002,104.830002,106.239998,94.975716,144091540
2016-02-29,105.500000,107.379997,104.809998,107.000000,95.655128,91798290
2016-03-01,107.500000,108.790001,106.419998,108.260002,96.781540,114856490
2016-03-02,109.000000,109.199997,106.099998,106.120003,94.868439,97924280
2016-03-03,106.699997,107.629997,105.400002,106.989998,95.646187,80188360
2016-03-04,107.699997,109.019997,106.699997,108.989998,97.434135,84288020
2016-03-07,109.620003,110.199997,108.570000,109.470001,97.863251,75021080
2016-03-09,108.989998,109.070000,107.500000,108.150002,96.683205,72419980
2016-03-10,108.260002,109.900002,107.669998,108.839996,97.300041,94994800
2016-03-11,109.199997,109.949997,108.550003,109.260002,97.675514,61331210
2016-03-14,109.279999,109.559998,108.400002,109.260002,97.675514,66481000
2016-03-15,109.599998,110.290001,106.089996,106.459999,95.172386,127043830
2016-03-16,107.199997,107.269997,106.120003,107.000000,95.655128,75835060
2016-03-17,107.800003,109.489998,107.699997,109.470001,97.863251,92997390
2016-03-18,109.589996,112.500000,108.910004,112.400002,100.482597,134630750
2016-03-21,111.500000,112.919998,110.500000,112.070000,100.187576,115565250
2016-03-22,112.269997,114.190002,111.000000,111.489998,99.669075,107526080
2016-03-23,111.269997,112.099998,108.699997,109.099998,97.532478,104185740
2016-03-24,108.589996,109.290001,107.050003,108.059998,96.602745,93439810
2016-03-25,108.620003,109.500000,108.620003,109.099998,97.532478,32979670
2016-03-28,110.000000,110.110001,107.690002,108.120003,96.656387,50130419
2016-03-29,107.910004,108.440002,105.349998,107.050003,95.699837,86835580
2016-03-30,107.980003,109.910004,107.519997,109.150002,97.577179,84472720
2016-03-31,108.720001,110.589996,107.320000,109.900002,98.247658,106590120
2016-04-01,109.300003,109.400002,107.010002,108.519997,97.013969,101276220
2016-04-04,108.209999,109.690002,107.099998,108.199997,96.727898,80458570
2016-04-05,107.239998,107.639999,106.000000,106.870003,95.538918,75657580
2016-04-06,107.629997,108.300003,107.050003,108.000000,96.549103,75577530
2016-04-07,108.989998,109.379997,107.620003,108.510002,97.005028,80295520
2016-04-08,108.980003,113.300003,108.559998,112.919998,100.947456,124450440
2016-04-11,113.000000,117.849998,112.620003,117.349998,104.907753,150709430
2016-04-12,117.269997,119.389999,115.820000,117.949997,105.444138,121033820
2016-04-13,118.099998,119.949997,117.349998,119.500000,106.829796,103450650
2016-04-14,119.010002,119.550003,117.889999,119.300003,106.651001,87986340
2016-04-15,118.949997,119.910004,118.110001,119.300003,106.651001,70464930
2016-04-18,117.120003,118.199997,116.010002,118.199997,105.667625,91828010
2016-04-19,118.900002,123.349998,118.779999,121.500000,108.617744,137828350
2016-04-20,120.500000,123.970001,119.900002,123.750000,110.629181,104454360
2016-04-21,124.989998,125.550003,118.199997,119.169998,106.534782,181989880
2016-04-22,119.680000,121.389999,117.900002,121.250000,108.394249,103041828
2016-04-25,121.010002,121.510002,119.599998,120.080002,107.348305,67353690
2016-04-26,119.980003,119.980003,116.750000,119.699997,107.008591,87583045
2016-04-27,120.250000,122.370003,119.570000,120.800003,107.991974,90776270
2016-04-28,121.309998,124.389999,120.000000,124.389999,111.201324,86145270
2016-04-29,124.430000,125.779999,122.000000,123.550003,110.450394,102845100
2016-05-04,121.500000,122.389999,119.309998,120.959999,108.135002,84920280
2016-05-05,121.459999,122.300003,120.400002,120.919998,108.099236,56067230
2016-05-06,120.269997,120.860001,118.410004,120.639999,107.848923,70324510
2016-05-10,119.800003,121.349998,118.570000,119.550003,106.874496,66142640
2016-05-11,120.010002,123.620003,119.570000,123.449997,110.360985,85404520
2016-05-12,123.459999,124.379997,121.010002,121.199997,108.349548,82201850
2016-05-13,121.500000,121.949997,119.690002,121.070000,108.233337,63730840
2016-05-16,122.199997,123.620003,121.629997,122.599998,109.601112,59174910
2016-05-17,122.849998,123.269997,120.599998,122.709999,109.699448,72505100
2016-05-18,122.489998,123.540001,121.830002,123.120003,110.065987,50051460
2016-05-19,121.959999,122.169998,120.300003,120.500000,107.723770,72437040
2016-05-20,121.830002,122.470001,120.800003,121.900002,108.975334,54014280
2016-05-23,121.300003,122.199997,120.120003,121.510002,108.626678,56408970
2016-05-24,121.449997,124.070000,121.349998,123.500000,110.405693,56897510
2016-05-25,124.449997,128.550003,124.410004,127.870003,114.312355,114073670
2016-05-26,128.539993,133.050003,126.900002,132.160004,118.147499,125310740
2016-05-27,131.619995,134.789993,131.350006,133.199997,119.077225,87175150
2016-05-30,133.509995,135.080002,132.550003,134.449997,120.194695,37575080
2016-05-31,134.789993,135.979996,132.559998,132.559998,118.505089,93363020
2016-06-01,132.360001,133.210007,131.309998,131.360001,117.432312,64165110
2016-06-02,131.509995,133.080002,130.509995,132.300003,118.272652,63947300
2016-06-03,133.070007,134.440002,131.039993,131.589996,117.637939,68202630
2016-06-06,132.080002,134.740005,132.000000,133.990005,119.783470,48666040
2016-06-07,134.500000,139.970001,134.020004,139.970001,125.129433,101207331
2016-06-08,141.119995,142.000000,137.440002,139.389999,124.610924,88575489
2016-06-09,139.899994,140.710007,137.070007,139.610001,124.807594,56597300
2016-06-10,137.800003,137.940002,133.350006,133.500000,121.053574,64569430
2016-06-14,131.220001,132.369995,126.150002,127.080002,115.232124,109389570
2016-06-15,126.900002,130.229996,126.610001,129.889999,117.780144,80324940
2016-06-16,129.000000,129.240005,125.849998,127.099998,115.250259,67167630
2016-06-17,128.660004,130.750000,128.490005,128.699997,116.701088,66796670
2016-06-20,132.449997,133.479996,131.199997,132.130005,119.811310,47921580
2016-06-21,132.100006,133.429993,129.940002,133.389999,120.953835,52409310
2016-06-22,134.610001,135.789993,133.509995,134.809998,122.241447,45466013
2016-06-23,134.419998,138.279999,133.889999,138.000000,125.134041,55163860
2016-06-24,131.500000,133.500000,129.119995,133.399994,120.962898,107405790
2016-06-27,133.899994,134.830002,125.349998,126.199997,114.434166,117447730
2016-06-28,127.849998,129.710007,125.699997,129.570007,117.489983,91288180
2016-06-29,130.630005,133.949997,129.820007,133.880005,121.398163,67216180
2016-06-30,133.649994,135.339996,131.139999,133.000000,120.600197,86955520
2016-07-01,133.380005,134.339996,131.550003,133.850006,121.370949,64562290
2016-07-04,134.649994,135.839996,133.800003,134.600006,122.051025,37974790
2016-07-05,133.899994,133.899994,131.729996,131.850006,119.557411,44241160
