Date,Open,High,Low,Close,Adj Close,Volume
2016-02-16,70.010002,70.489998,69.070000,69.620003,60.788368,7747600
2016-02-17,69.800003,71.680000,69.419998,71.290001,62.246510,9992800
2016-02-18,71.930000,73.379997,71.720001,73.250000,63.957882,15055600
2016-02-19,72.480003,73.370003,71.610001,71.930000,62.805321,10120000
2016-02-22,72.820000,73.779999,72.510002,73.599998,64.263474,4279200
2016-02-24,72.800003,73.000000,71.809998,72.339996,63.163315,6212500
2016-02-25,72.699997,74.040001,71.800003,73.760002,64.403183,9528900
2016-02-26,74.309998,75.690002,74.199997,75.209999,65.669243,10765400
2016-02-29,74.699997,76.900002,74.349998,76.900002,67.144859,7272200
2016-03-01,77.040001,77.949997,76.629997,77.309998,67.502846,8745800
2016-03-02,78.199997,78.290001,75.199997,75.199997,65.660507,7729200
2016-03-03,75.500000,76.589996,75.000000,75.800003,66.184402,6697900
2016-03-04,76.099998,76.870003,75.699997,76.820000,67.075005,6207000
2016-03-07,77.400002,77.839996,77.150002,77.820000,67.948143,4651000
2016-03-09,77.500000,77.599998,76.029999,76.510002,66.804337,8666000
2016-03-10,76.059998,77.209999,75.550003,75.559998,65.974846,11005400
2016-03-11,76.000000,77.760002,75.830002,77.029999,67.258369,15209600
2016-03-14,77.199997,77.199997,75.769997,76.800003,67.057549,7800800
2016-03-15,77.129997,77.500000,75.620003,75.620003,66.027237,12426000
2016-03-16,75.900002,77.400002,75.860001,77.000000,67.232170,11037800
2016-03-17,77.559998,78.739998,77.300003,78.449997,68.498230,17189500
2016-03-18,78.349998,80.169998,78.099998,79.699997,69.589661,12663800
2016-03-21,79.300003,79.839996,78.330002,79.809998,69.685699,10571200
2016-03-22,79.709999,80.639999,79.010002,80.029999,69.877800,11547100
2016-03-23,79.500000,80.300003,78.339996,78.930000,68.917336,10478200
2016-03-24,78.410004,78.919998,77.910004,78.750000,68.760178,8676500
2016-03-25,78.769997,79.800003,78.769997,79.650002,69.546005,3639600
2016-03-28,79.879997,80.250000,78.470001,78.650002,68.672859,5136489
2016-03-29,78.279999,78.750000,76.760002,77.599998,67.756058,7476100
2016-03-30,78.370003,79.400002,78.139999,79.089996,69.057045,5284900
2016-03-31,78.680000,79.290001,77.510002,79.089996,69.057045,9516600
2016-04-01,78.349998,78.489998,77.000000,77.290001,67.485382,11544300
