Ticker
SBER
GMKN
GAZP
LKOH
ROSN
SNGS
ALRS
NVTK
MGNT
TATN
VTBR
MOEX
NLMK
SBERP
AFLT
CHMF
MTSS
MAGN
RUAL
PLZL
TRNFP
TATNP
SNGSP
HYDR
FIVE
YNDX
SIBN
GCHE
IRAO
RASP
UPRO
POLY
FEES
PHOR
TGKA
BANEP
MTLR
DSKY
AFKS
RTKM
PIKK
MRKV
LSNGP
MRKP
MVID
LNTA
MRKY
CBOM
NKNCP
NKNC
RSTI
RNFT
MSNG
MTLRP
LSRG
TRMK
MRKC
OGKB
KUBE
PRTK
MRKZ
ENRU
PLSM
MRKS
QIWI
PRFN
AKRN
NMTP
AGRO
ELTZ
FTRE
GRNT
OMZZP
RTKMP
ALNU
VDSB
UWGN
MGVM
MFON
BSPB
MSTT
BANE
TTLK
RUSI
URKA
MSST
IRKT
APTK
GTLC
KMAZ
TRCN
KBTK
LNZLP
VZRZP
KZOS
RSTIP
LSNG
KRKNP
TANL
CHKZ
MRKU
STSB
VJGZ
ALBK
RBCM
SVAV
RGSS
SLEN
KLSB
MSRS
LPSB
HIMCP
SELGP
RKKE
KZOSP
SELG
KOGK
VSMO
CHEP
VZRZ
NKHP
ROLO
CHGZ
STSBP
VGSB
CLSB
YKEN
VGSBP
MOBB
VJGZP
NSVZ
IRGZ
CNTLP
TGKD
MGTSP
RLMN
UNAC
PMSBP
DASB
DZRDP
TORSP
DVEC
KAZT
RUGR
DIOD
KRKOP
AQUA
TGKB
ASSB
KROT
LVHK
MFGS
ARMD
BLNG
MAGE
LNZL
AVAN
SIBG
GAZAP
AMEZ
PMSB
TUCH
WTCMP
PRMB
KMEZ
MRKK
NAUK
VLHZ
FESH
LIFE
BRZL
MRSB
GAZA
RUSP
RZSB
CHMK
NFAZ
CNTL
RTGZ
TASB
IGST
TGKBP
MGNZ
YAKG
KTSBP
ZVEZ
ROSB
VSYD
KRSBP
KCHEP
YKENP
USBN
ODVA
ABRD
MGTS
UTAR
RTSB
SZPR
RLMNP
VRSBP
SAGO
ROST
MAGEP
URKZ
CLSBP
YRSBP
ARSA
NNSB
TGKN
PAZA
TASBP
KROTP
TGKDP
KTSB
OPIN
KUZB
TORS
KCHE
UCSS
SARE
NKSH
RTSBP
KRSB
ISKJ
KRKN
TUZA
UNKL
BISVP
VSYDP
WTCM
HALS
NNSBP
MISB
KAZTP
ZILL
SAREP
MISBP
MFGSP
UKUZ
IGSTP
DZRD
VRSB
SAGOP
JNOS
JNOSP
KBSB
TNSE
KMTZ
MERF
YRSB
RDRB
GTPR
KRKO
GTSS
HIMC
UTSY
KSGR
NPOF
TANLP
IDVP
MNFD
KUNF
MORI
KZMS
TGKO
VTRS
AVAZ
AVAZP
KGKC
GAZC
KGKCP
BISV
GAZS
GAZT
