Time,MOEX,LKOH,SBER,GAZP,NVTK
10:05:02,269950.000000,5152.000000,247.500000,232.790000,1300.000000
10:06:02,270000.000000,5152.000000,247.300000,232.320000,1298.400000
10:07:02,270075.000000,5158.000000,247.600000,232.100000,1300.000000
10:08:02,270175.000000,5155.500000,248.200000,232.100000,1298.000000
10:09:02,270200.000000,5159.000000,248.750000,231.990000,1298.000000
10:10:03,270125.000000,5153.500000,248.680000,231.820000,1298.000000
10:11:03,270050.000000,5153.000000,248.470000,231.700000,1299.600000
10:12:03,270000.000000,5158.000000,248.600000,231.320000,1298.800000
10:13:03,269925.000000,5158.500000,248.650000,231.460000,1296.600000
10:14:03,269900.000000,5153.500000,248.410000,231.800000,1296.600000
10:15:03,269750.000000,5151.000000,248.150000,231.680000,1296.600000
10:16:03,269775.000000,5151.000000,248.300000,231.650000,1297.000000
10:17:03,269725.000000,5150.000000,247.780000,231.720000,1298.000000
10:18:03,269600.000000,5150.000000,247.410000,231.450000,1298.000000
10:19:03,269550.000000,5150.000000,247.680000,231.330000,1298.000000
10:20:03,269625.000000,5151.500000,247.870000,231.360000,1298.000000
10:21:03,269625.000000,5151.000000,247.670000,231.290000,1298.000000
10:22:03,269600.000000,5155.000000,247.500000,231.390000,1298.400000
10:23:03,269400.000000,5153.500000,247.220000,231.070000,1296.200000
10:24:03,269325.000000,5153.000000,247.150000,231.010000,1296.000000
10:25:03,269300.000000,5153.000000,247.000000,230.990000,1295.800000
10:26:03,268975.000000,5139.500000,246.750000,230.450000,1294.400000
10:27:03,269275.000000,5149.000000,247.040000,231.270000,1296.200000
10:28:03,269475.000000,5152.000000,247.270000,231.440000,1295.400000
10:29:03,269500.000000,5150.000000,247.450000,231.420000,1295.800000
10:30:02,269550.000000,5150.000000,247.660000,231.400000,1294.000000
10:31:03,269450.000000,5148.500000,247.200000,231.390000,1292.800000
10:32:03,269450.000000,5152.000000,247.240000,231.380000,1292.800000
10:33:03,269475.000000,5149.000000,247.200000,231.470000,1293.400000
10:34:02,269450.000000,5154.000000,247.260000,231.580000,1292.800000
10:35:03,269700.000000,5157.500000,247.560000,231.700000,1293.800000
10:36:03,269775.000000,5160.000000,247.630000,231.890000,1293.600000
10:37:03,269800.000000,5163.500000,247.720000,231.720000,1294.600000
10:38:03,269850.000000,5163.500000,247.790000,231.920000,1294.600000
10:39:03,269850.000000,5167.500000,247.850000,231.810000,1295.000000
10:40:03,269850.000000,5164.000000,247.800000,231.840000,1294.800000
10:41:03,269875.000000,5159.000000,247.830000,232.000000,1295.000000
10:42:04,269900.000000,5162.500000,248.170000,231.990000,1294.600000
10:43:04,269800.000000,5161.000000,247.840000,231.920000,1294.200000
10:44:04,269800.000000,5164.500000,247.460000,231.700000,1294.800000
10:45:04,269750.000000,5164.500000,247.630000,231.550000,1295.000000
10:46:04,269775.000000,5164.000000,247.880000,231.700000,1294.800000
10:47:04,269825.000000,5164.500000,247.760000,231.700000,1295.000000
10:48:04,269725.000000,5158.500000,247.650000,231.720000,1294.400000
10:49:04,269750.000000,5158.000000,247.650000,231.700000,1294.400000
10:50:04,269750.000000,5160.000000,247.490000,231.790000,1295.000000
10:51:04,269750.000000,5159.500000,247.460000,231.580000,1295.000000
10:52:04,269775.000000,5160.000000,247.600000,231.580000,1294.400000
10:53:04,269625.000000,5159.500000,247.540000,231.380000,1294.600000
10:54:04,269600.000000,5160.000000,247.400000,231.200000,1293.800000
10:55:04,269600.000000,5160.000000,247.660000,231.350000,1294.000000
10:56:04,269675.000000,5160.500000,247.560000,231.370000,1293.400000
10:57:04,269600.000000,5165.500000,247.400000,231.410000,1293.800000
10:58:04,269650.000000,5157.000000,247.440000,231.440000,1294.000000
10:59:04,269725.000000,5161.000000,247.670000,231.550000,1294.800000
11:00:04,269775.000000,5165.000000,247.640000,231.530000,1294.200000
11:01:04,269725.000000,5164.500000,247.750000,231.530000,1294.200000
11:02:04,269650.000000,5169.000000,247.730000,231.370000,1295.000000
11:03:04,269675.000000,5170.000000,247.680000,231.430000,1295.000000
11:04:04,269625.000000,5170.000000,247.540000,231.340000,1295.000000
11:05:04,269525.000000,5167.000000,247.430000,231.200000,1294.800000
11:06:04,269575.000000,5167.000000,247.500000,231.200000,1294.800000
11:07:05,269575.000000,5168.500000,247.390000,231.290000,1294.800000
11:08:05,269700.000000,5173.500000,247.450000,231.250000,1295.000000
11:09:05,269675.000000,5175.000000,247.430000,231.170000,1295.000000
11:10:05,269675.000000,5174.000000,247.400000,231.100000,1294.800000
11:11:05,269575.000000,5168.500000,247.410000,231.030000,1294.600000
11:12:06,269550.000000,5169.500000,247.390000,231.020000,1294.600000
11:13:06,269525.000000,5166.500000,247.300000,231.000000,1294.600000
11:14:06,269625.000000,5165.000000,247.390000,231.190000,1294.600000
11:15:06,269650.000000,5168.000000,247.620000,231.180000,1294.600000
11:16:06,269725.000000,5168.500000,247.540000,231.250000,1294.600000
11:17:06,269675.000000,5168.500000,247.600000,231.220000,1294.600000
11:18:06,269675.000000,5168.500000,247.600000,231.220000,1294.600000
11:19:06,269675.000000,5168.000000,247.460000,231.210000,1294.600000
11:20:06,269750.000000,5169.000000,247.550000,231.170000,1295.000000
11:21:06,269650.000000,5168.000000,247.530000,231.160000,1295.000000
11:22:07,269650.000000,5166.500000,247.300000,231.260000,1295.000000
11:23:07,269575.000000,5166.500000,247.090000,231.230000,1295.000000
11:24:07,269550.000000,5164.500000,247.080000,231.170000,1295.000000
11:25:07,269525.000000,5164.500000,247.120000,231.180000,1295.000000
11:26:07,269525.000000,5164.000000,247.190000,230.970000,1295.000000
11:27:07,269575.000000,5166.500000,247.210000,231.060000,1295.000000
11:28:07,269575.000000,5166.500000,247.340000,231.200000,1295.000000
11:29:07,269625.000000,5165.000000,247.230000,231.280000,1295.000000
11:30:07,269600.000000,5166.000000,247.250000,231.230000,1294.800000
11:31:07,269450.000000,5164.000000,247.050000,231.030000,1295.000000
11:32:07,269500.000000,5164.500000,246.940000,231.180000,1294.800000
11:33:07,269250.000000,5166.000000,246.150000,231.130000,1294.600000
11:34:07,269275.000000,5166.000000,246.150000,231.110000,1294.600000
11:35:07,269375.000000,5165.000000,246.400000,231.110000,1294.600000
11:36:07,269275.000000,5165.500000,246.340000,231.100000,1294.600000
11:37:07,269275.000000,5166.500000,246.200000,231.200000,1294.200000
11:38:07,269275.000000,5166.000000,246.280000,231.240000,1294.800000
11:39:07,269400.000000,5170.000000,246.500000,231.340000,1294.800000
11:40:07,269475.000000,5170.000000,246.560000,231.490000,1294.600000
11:41:07,269450.000000,5168.000000,246.460000,231.380000,1294.600000
11:42:07,269375.000000,5168.500000,246.500000,231.320000,1295.000000
11:43:07,269400.000000,5170.000000,246.500000,231.310000,1295.000000
11:44:07,269400.000000,5169.000000,246.600000,231.290000,1295.000000
11:45:07,269400.000000,5169.000000,246.600000,231.400000,1295.000000
11:46:07,269400.000000,5167.500000,246.610000,231.270000,1295.000000
11:47:07,269350.000000,5167.500000,246.650000,231.130000,1295.000000
11:48:08,269350.000000,5168.000000,246.620000,231.130000,1295.000000
11:49:08,269375.000000,5168.000000,246.710000,231.150000,1295.000000
11:50:07,269350.000000,5168.500000,246.830000,230.900000,1295.000000
11:51:07,269350.000000,5166.500000,246.830000,230.780000,1295.000000
11:52:08,269350.000000,5166.000000,246.900000,230.890000,1295.000000
11:53:07,269375.000000,5165.000000,246.990000,231.000000,1295.000000
11:54:08,269575.000000,5166.500000,247.150000,231.340000,1300.800000
11:55:08,269575.000000,5166.500000,247.140000,231.260000,1301.400000
11:56:07,269400.000000,5164.000000,246.920000,231.210000,1299.600000
11:57:08,269250.000000,5162.500000,246.710000,230.910000,1299.400000
11:58:08,269400.000000,5161.500000,246.840000,231.080000,1299.200000
11:59:08,269350.000000,5162.500000,246.780000,231.000000,1298.600000
12:00:08,269325.000000,5163.500000,246.810000,230.970000,1299.200000
12:01:08,269375.000000,5166.000000,246.960000,230.980000,1299.000000
12:02:06,269450.000000,5162.500000,246.870000,230.980000,1299.000000
12:03:08,269250.000000,5161.500000,246.770000,230.820000,1298.800000
12:04:08,269325.000000,5162.000000,246.750000,230.830000,1298.800000
12:05:08,269325.000000,5162.000000,246.790000,230.860000,1298.600000
12:06:08,269325.000000,5158.500000,246.890000,230.990000,1298.000000
12:07:08,269400.000000,5159.500000,247.000000,231.500000,1298.000000
12:08:08,269450.000000,5160.500000,247.190000,231.460000,1298.600000
12:09:08,269375.000000,5158.500000,247.040000,231.330000,1298.600000
12:10:08,269325.000000,5159.500000,247.090000,231.170000,1298.600000
12:11:08,269375.000000,5160.000000,247.120000,231.520000,1299.200000
12:12:08,269400.000000,5159.500000,246.960000,231.220000,1298.200000
12:13:08,269225.000000,5158.000000,246.730000,231.000000,1297.600000
12:14:08,269275.000000,5160.000000,246.810000,231.120000,1297.600000
12:15:08,269350.000000,5159.500000,246.900000,231.080000,1298.000000
12:16:08,269400.000000,5159.500000,246.830000,231.140000,1298.200000
12:17:08,269325.000000,5160.000000,246.560000,231.320000,1298.000000
12:18:08,269525.000000,5164.500000,246.700000,231.440000,1298.000000
12:19:08,269550.000000,5163.500000,246.600000,231.500000,1298.200000
12:20:08,269600.000000,5165.500000,246.670000,231.740000,1298.800000
12:21:08,269625.000000,5168.500000,246.700000,231.740000,1299.200000
12:22:08,269700.000000,5168.500000,246.680000,231.870000,1299.400000
12:23:08,269575.000000,5166.000000,246.660000,231.540000,1299.200000
12:24:08,269500.000000,5164.000000,246.550000,231.570000,1300.000000
12:25:08,269525.000000,5165.000000,246.550000,231.410000,1299.200000
12:26:08,269525.000000,5166.500000,246.740000,231.540000,1299.400000
12:27:08,269500.000000,5167.500000,246.680000,231.640000,1298.400000
12:28:08,269550.000000,5167.500000,246.680000,231.800000,1298.600000
12:29:08,269650.000000,5167.000000,246.830000,231.910000,1298.800000
12:30:08,269700.000000,5167.500000,246.800000,231.850000,1298.800000
12:31:08,269650.000000,5166.500000,246.980000,231.830000,1298.600000
12:32:08,269650.000000,5168.000000,247.000000,231.840000,1298.800000
12:33:08,269700.000000,5167.500000,247.040000,231.840000,1298.800000
12:34:08,269625.000000,5167.000000,247.140000,231.740000,1298.800000
12:35:09,269625.000000,5164.000000,247.070000,231.750000,1298.800000
12:36:09,269625.000000,5164.000000,247.050000,231.730000,1298.000000
12:37:08,269575.000000,5164.000000,247.040000,231.820000,1297.400000
12:38:09,269550.000000,5164.000000,247.000000,231.920000,1297.000000
12:39:09,269625.000000,5165.000000,246.870000,232.010000,1297.600000
12:40:09,269675.000000,5166.000000,246.880000,232.180000,1297.600000
12:41:08,269600.000000,5165.500000,246.900000,232.000000,1298.000000
12:42:09,269600.000000,5166.000000,246.960000,232.080000,1297.400000
12:43:09,269700.000000,5167.500000,247.040000,232.120000,1296.600000
12:44:08,269700.000000,5168.500000,246.960000,232.170000,1296.200000
12:45:09,269700.000000,5168.500000,246.980000,232.240000,1296.000000
12:46:09,269400.000000,5163.500000,246.660000,232.000000,1295.600000
12:47:09,269575.000000,5162.500000,246.710000,232.010000,1295.200000
12:48:09,269425.000000,5160.500000,246.610000,232.000000,1293.800000
12:49:09,269450.000000,5162.000000,246.630000,232.020000,1294.000000
12:50:09,269450.000000,5160.000000,246.710000,232.000000,1294.200000
12:51:09,269450.000000,5159.500000,246.710000,232.020000,1294.200000
12:52:09,269550.000000,5162.000000,246.840000,232.040000,1294.800000
12:53:09,269550.000000,5162.000000,246.870000,232.000000,1296.600000
12:54:11,269525.000000,5160.500000,246.840000,232.010000,1296.800000
12:55:15,269600.000000,5162.000000,246.910000,232.020000,1296.200000
12:56:15,269475.000000,5160.000000,246.920000,232.050000,1296.200000
12:57:15,269550.000000,5162.000000,246.900000,232.060000,1296.200000
12:58:15,269600.000000,5165.500000,246.830000,232.010000,1295.400000
12:59:15,269600.000000,5166.000000,246.890000,232.010000,1295.400000
13:00:15,269625.000000,5164.000000,246.900000,232.000000,1295.400000
13:01:15,269525.000000,5163.000000,246.800000,232.010000,1296.000000
13:02:15,269575.000000,5164.000000,246.820000,232.020000,1295.000000
13:03:15,269575.000000,5164.000000,246.780000,232.030000,1295.000000
13:04:15,269600.000000,5165.000000,246.770000,232.050000,1295.000000
13:05:15,269550.000000,5165.000000,246.680000,232.000000,1295.000000
13:06:15,269550.000000,5164.500000,246.800000,232.040000,1295.000000
13:07:15,269600.000000,5163.500000,246.900000,232.000000,1295.000000
13:08:15,269600.000000,5163.000000,246.850000,232.010000,1295.000000
13:09:15,269625.000000,5164.500000,246.760000,232.380000,1294.800000
13:10:15,269575.000000,5160.000000,246.680000,232.110000,1294.800000
13:11:15,269550.000000,5158.000000,246.900000,232.010000,1294.200000
13:12:15,269500.000000,5157.500000,246.900000,232.080000,1294.200000
13:13:15,269475.000000,5154.000000,246.820000,232.070000,1294.200000
13:14:15,269575.000000,5153.500000,246.900000,232.100000,1293.400000
13:15:15,269550.000000,5154.000000,246.880000,232.160000,1295.000000
13:16:16,269525.000000,5153.500000,246.870000,232.040000,1295.200000
13:17:16,269550.000000,5150.000000,246.760000,232.140000,1295.200000
13:18:16,269400.000000,5149.500000,246.710000,232.030000,1295.200000
13:19:16,269375.000000,5153.000000,246.680000,232.030000,1295.200000
13:20:16,269350.000000,5150.500000,246.610000,231.920000,1295.000000
13:21:19,269350.000000,5150.500000,246.610000,232.000000,1295.000000
13:22:20,269350.000000,5151.500000,246.550000,232.010000,1295.000000
13:23:21,269325.000000,5151.000000,246.650000,232.010000,1295.000000
13:24:21,269450.000000,5150.500000,246.660000,232.090000,1295.000000
13:25:20,269325.000000,5149.500000,246.660000,232.050000,1294.200000
13:26:21,269150.000000,5140.000000,246.410000,231.960000,1294.200000
13:27:21,269225.000000,5142.000000,246.530000,231.930000,1294.000000
13:28:21,269250.000000,5141.500000,246.520000,232.020000,1294.800000
13:29:21,269250.000000,5146.500000,246.520000,232.060000,1294.800000
13:30:21,269250.000000,5147.000000,246.520000,232.000000,1295.000000
13:31:21,269275.000000,5148.000000,246.500000,232.020000,1294.200000
13:32:21,269225.000000,5143.000000,246.580000,231.990000,1295.000000
13:33:21,269200.000000,5146.500000,246.670000,231.990000,1295.200000
13:34:21,269250.000000,5143.500000,246.660000,231.950000,1294.800000
13:35:21,269250.000000,5144.000000,246.620000,231.890000,1294.800000
13:36:21,269250.000000,5142.000000,246.610000,232.020000,1294.200000
13:37:21,269225.000000,5142.500000,246.600000,232.030000,1295.000000
13:38:21,269200.000000,5140.000000,246.590000,231.920000,1295.000000
13:39:21,269200.000000,5140.000000,246.590000,231.940000,1295.000000
13:40:21,269075.000000,5138.000000,246.310000,231.800000,1295.600000
13:41:21,269100.000000,5140.000000,246.400000,231.890000,1295.800000
13:42:21,269075.000000,5140.000000,246.350000,231.860000,1295.000000
13:43:21,269100.000000,5140.500000,246.320000,231.880000,1295.000000
13:44:21,269100.000000,5141.000000,246.210000,231.890000,1295.000000
13:45:21,269100.000000,5141.500000,246.210000,231.880000,1295.000000
13:46:21,269075.000000,5141.000000,246.330000,231.880000,1295.000000
13:47:21,269150.000000,5140.000000,246.440000,231.990000,1295.000000
13:48:22,269200.000000,5140.000000,246.520000,231.990000,1295.200000
13:49:22,269200.000000,5143.500000,246.700000,232.010000,1295.000000
13:50:22,269275.000000,5141.000000,246.770000,232.070000,1295.800000
13:51:22,269300.000000,5141.000000,246.650000,232.060000,1295.200000
13:52:21,269275.000000,5141.500000,246.570000,232.000000,1295.200000
13:53:21,269300.000000,5141.500000,246.610000,232.050000,1295.200000
13:54:22,269325.000000,5141.000000,246.700000,232.140000,1295.000000
13:55:22,269325.000000,5140.500000,246.710000,232.200000,1295.200000
13:56:22,269350.000000,5138.500000,246.870000,232.220000,1295.200000
13:57:21,269275.000000,5137.000000,246.830000,231.990000,1295.200000
13:58:22,269325.000000,5139.500000,246.900000,232.130000,1295.200000
13:59:21,269275.000000,5140.000000,246.860000,231.940000,1295.200000
14:00:22,269275.000000,5140.000000,246.770000,231.970000,1295.000000
14:01:22,269275.000000,5141.000000,246.800000,231.950000,1295.000000
14:02:22,269275.000000,5137.000000,246.780000,231.820000,1295.000000
14:03:03,269275.000000,5136.000000,246.780000,231.890000,1295.000000
14:04:22,269275.000000,5136.500000,246.800000,231.870000,1295.000000
14:05:22,269275.000000,5137.500000,246.950000,232.030000,1295.000000
14:06:22,269250.000000,5135.500000,247.100000,231.870000,1295.000000
14:07:22,269250.000000,5134.000000,247.090000,231.910000,1295.400000
14:08:22,269150.000000,5131.500000,247.020000,231.890000,1295.400000
14:09:22,269150.000000,5133.000000,247.120000,231.920000,1295.400000
14:10:22,269150.000000,5133.000000,247.100000,231.910000,1294.600000
14:11:22,269175.000000,5132.000000,247.080000,231.940000,1294.600000
14:12:22,269225.000000,5130.500000,247.490000,231.870000,1294.600000
14:13:22,269275.000000,5129.000000,247.500000,231.850000,1294.600000
14:14:22,269225.000000,5129.000000,247.590000,231.890000,1294.600000
