ISIN;Name;Price;Nominal;Coupon;ACI;Coupon_date;Coupon_days;Expiration_date
RU000A0JXQQ9;АРАГОН_об;100.5;1000;26.8;14.43;07.08.2019;91;04.05.2022
RU000A0ZZYF7;АС_ФИН1Р1;100;1000;29.59;3.29;14.09.2019;90;22.11.2023
RU000A0JWF71;АбсолютБC1;100;1000;72.3;24.23;25.10.2019;182;22.10.2021
RU000A0JVD41;АбсолютБО5;100;1000;0;0;29.10.2019;183;29.04.2020
RU000A0ZYC31;АвАгроБ1P1;100;1000;21.19;19.33;04.07.2019;91;23.09.2027
RU000A0ZYH02;АвАгроБ1P2;100;1000;21.19;6.75;27.08.2019;91;16.11.2027
RU000A0JX009;Автодор1P1;103.5;1000;51.11;9.27;22.11.2019;182;20.11.2020
RU000A0ZYKM5;Автодор1P2;100.04;1000;40.39;2.66;13.12.2019;182;13.12.2019
RU000A0ZZPY6;Автодор1Р3;100.03;1000;41.36;15.37;19.10.2019;183;19.10.2019
RU000A100030;Автодор2Р1;100;1000;42.38;42.15;27.06.2019;182;12.12.2030
RU000A100048;Автодор2Р2;100.25;1000;47.37;47.11;27.06.2019;182;23.12.2021
RU000A100B40;Автодор2Р3;101;1000;43.38;14.54;25.10.2019;182;23.04.2021
RU000A0JW118;Агронова01;100.55;1000;48.62;1.6;19.12.2019;182;17.12.2020
RU000A0JRHF3;Акрон_04;101.91;1000;50.86;10.06;19.11.2019;182;18.05.2021
RU000A0JRHG1;Акрон_05;102.12;1000;50.86;10.06;19.11.2019;182;18.05.2021
RU000A0JWV89;Акрон_Б1P1;101.95;1000;47.62;21.72;03.10.2019;182;24.09.2026
RU000A0JXSS1;Акрон_Б1P2;101.1;1000;42.88;5.18;03.12.2019;182;25.05.2027
RU000A0ZZEW4;Альфа-Б2Р1;100.25;1000;39.61;31.82;01.08.2019;183;02.08.2021
RU000A0JUU90;АльфаБО-13;100.49;1000;46.62;26.64;12.09.2019;182;30.08.2029
RU000A0JUUA1;АльфаБО-14;100.59;1000;41.14;23.51;12.09.2019;182;30.08.2029
RU000A0JV0U1;АльфаБО-15;99.99;1000;36.65;5.84;26.11.2019;182;13.11.2029
RU000A0JWPV3;АльфаБО-16;100.09;1000;38.89;29.7;08.08.2019;182;24.07.2031
