Date,AAPL,ADBE,BVSN,CNET,CSCO,FB,GOOG,IBM,INTC,IPDN,ISSC,LEDS,LPTH,MIND,MSFT,NVDA,ORCL,SGMA,STRM,TSRI
2016-12-29,116.7300033569336,103.68000030517578,4.949999809265137,1.0399999618530273,30.459999084472656,116.3499984741211,782.7899780273438,166.60000610351562,36.65999984741211,11.279999732971191,3.25,3.5999999046325684,1.5700000524520874,4.039999961853027,62.900001525878906,111.43000030517578,38.689998626708984,,1.2400000095367432,5.650000095367432
2016-12-30,115.81999969482422,102.94999694824219,4.650000095367432,1.0,30.219999313354492,115.05000305175781,771.8200073242188,165.99000549316406,36.27000045776367,10.920000076293945,3.3299999237060547,3.509999990463257,1.5399999618530273,4.150000095367432,62.13999938964844,106.73999786376953,38.45000076293945,,1.25,5.75
2017-01-03,116.1500015258789,103.4800033569336,4.679999828338623,1.0199999809265137,30.540000915527344,116.86000061035156,786.1400146484375,167.19000244140625,36.599998474121094,10.260000228881836,3.4800000190734863,3.549999952316284,1.5199999809265137,4.150000095367432,62.58000183105469,102.01000213623047,38.54999923706055,,1.2999999523162842,5.800000190734863
2017-01-04,116.0199966430664,104.13999938964844,5.150000095367432,1.0800000429153442,30.100000381469727,118.69000244140625,786.9000244140625,169.25999450683594,36.40999984741211,10.199999809265137,3.509999990463257,3.680000066757202,1.4800000190734863,4.179999828338623,62.29999923706055,104.38999938964844,38.7400016784668,,1.2899999618530273,5.599999904632568
2017-01-05,116.61000061035156,105.91000366210938,4.949999809265137,1.090000033378601,30.170000076293945,120.66999816894531,794.02001953125,168.6999969482422,36.349998474121094,10.239999771118164,3.619999885559082,3.619999885559082,1.5099999904632568,4.329999923706055,62.29999923706055,101.73999786376953,38.63999938964844,,1.2999999523162842,5.900000095367432
2017-01-06,117.91000366210938,108.30000305175781,4.949999809265137,1.0800000429153442,30.229999542236328,123.41000366210938,806.1500244140625,169.52999877929688,36.47999954223633,10.180000305175781,3.5999999046325684,3.630000114440918,1.5099999904632568,4.25,62.84000015258789,103.0999984741211,38.45000076293945,,1.2899999618530273,5.800000190734863
2017-01-09,118.98999786376953,108.56999969482422,4.849999904632568,1.0399999618530273,30.18000030517578,124.9000015258789,806.6500244140625,167.64999389648438,36.61000061035156,10.239999771118164,3.75,3.630000114440918,1.6399999856948853,4.300000190734863,62.63999938964844,107.27999877929688,39.029998779296875,,1.2699999809265137,5.900000095367432
2017-01-10,119.11000061035156,108.26000213623047,4.949999809265137,1.0399999618530273,30.3799991607666,124.3499984741211,804.7899780273438,165.52000427246094,36.540000915527344,10.020000457763672,3.8299999237060547,3.740000009536743,1.7100000381469727,4.28000020980835,62.619998931884766,106.47000122070312,38.65999984741211,,1.2899999618530273,5.75
2017-01-11,119.75,108.98999786376953,5.25,1.0700000524520874,30.149999618530273,126.08999633789062,807.9099731445312,167.75,36.95000076293945,9.6899995803833,3.799999952316284,3.759999990463257,1.7799999713897705,4.320000171661377,63.189998626708984,105.16000366210938,39.11000061035156,,1.340000033378601,5.800000190734863
2017-01-12,119.25,108.58999633789062,5.199999809265137,1.059999942779541,30.040000915527344,126.62000274658203,806.3599853515625,167.9499969482422,36.709999084472656,9.3100004196167,3.7200000286102295,3.990000009536743,1.7999999523162842,4.320000171661377,62.61000061035156,103.44000244140625,39.20000076293945,,1.2899999618530273,5.699999809265137
2017-01-13,119.04000091552734,108.52999877929688,5.050000190734863,1.0299999713897705,30.06999969482422,128.33999633789062,807.8800048828125,167.33999633789062,36.790000915527344,9.380000114440918,3.859999895095825,3.8399999141693115,1.809999942779541,4.300000190734863,62.70000076293945,103.43000030517578,39.2599983215332,,1.309999942779541,5.699999809265137
2017-01-17,120.0,108.0,4.900000095367432,1.0499999523162842,29.989999771118164,127.87000274658203,804.6099853515625,167.88999938964844,36.79999923706055,9.640000343322754,3.8399999141693115,3.680000066757202,1.7999999523162842,4.329999923706055,62.529998779296875,101.11000061035156,39.099998474121094,,1.340000033378601,5.849999904632568
2017-01-18,119.98999786376953,108.79000091552734,4.929999828338623,1.0299999713897705,30.030000686645508,127.91999816894531,806.0700073242188,166.8000030517578,36.7599983215332,9.5600004196167,3.869999885559082,3.609999895095825,1.8899999856948853,4.360000133514404,62.5,102.94999694824219,39.189998626708984,,1.440000057220459,5.849999904632568
2017-01-19,119.77999877929688,109.79000091552734,4.900000095367432,1.0499999523162842,29.979999542236328,127.55000305175781,802.1749877929688,166.80999755859375,36.56999969482422,9.529999732971191,3.869999885559082,3.5999999046325684,1.8300000429153442,4.460000038146973,62.29999923706055,105.16000366210938,39.209999084472656,,1.4600000381469727,5.75
2017-01-20,120.0,110.70999908447266,4.75,1.0399999618530273,30.100000381469727,127.04000091552734,805.02001953125,170.5500030517578,36.939998626708984,9.220000267028809,3.8299999237060547,3.700000047683716,1.8300000429153442,4.599999904632568,62.7400016784668,104.01000213623047,39.869998931884766,,1.4299999475479126,5.800000190734863
2017-01-23,120.08000183105469,110.97000122070312,4.849999904632568,1.059999942779541,30.270000457763672,128.92999267578125,819.3099975585938,171.02999877929688,36.77000045776367,9.699999809265137,3.859999895095825,3.549999952316284,1.7599999904632568,4.650000095367432,62.959999084472656,105.08999633789062,39.68000030517578,,1.3799999952316284,5.449999809265137
2017-01-24,119.97000122070312,113.72000122070312,5.0,1.0700000524520874,30.600000381469727,129.3699951171875,823.8699951171875,175.89999389648438,37.619998931884766,9.880000114440918,3.9000000953674316,3.630000114440918,1.75,4.710000038146973,63.52000045776367,107.33000183105469,40.099998474121094,,1.4299999475479126,5.699999809265137
