Time,MOEX,LKOH,SBER,GAZP,NVTK
14.06.2019,10:14:44,275350.000000,5214.500000,242.820000,235.340000,1312.000000
14.06.2019,10:14:54,275350.000000,5217.500000,242.890000,235.390000,1312.000000
14.06.2019,10:15:04,275350.000000,5217.000000,243.000000,235.300000,1310.800000
14.06.2019,10:15:14,275200.000000,5216.500000,242.880000,235.080000,1308.800000
14.06.2019,10:15:24,275175.000000,5216.500000,242.620000,235.080000,1310.200000
14.06.2019,10:15:34,275200.000000,5216.500000,242.550000,235.080000,1310.200000
14.06.2019,10:15:44,275125.000000,5216.500000,242.440000,235.050000,1308.000000
14.06.2019,10:15:54,275175.000000,5216.500000,242.450000,235.230000,1308.000000
14.06.2019,10:16:04,275125.000000,5215.500000,242.260000,235.100000,1308.800000
14.06.2019,10:16:14,275050.000000,5215.000000,242.210000,235.050000,1307.200000
14.06.2019,10:16:24,275050.000000,5215.000000,242.200000,234.990000,1308.600000
14.06.2019,10:16:34,274950.000000,5215.000000,242.200000,234.920000,1308.600000
14.06.2019,10:16:44,274950.000000,5214.000000,242.220000,234.840000,1307.000000
14.06.2019,10:16:54,275000.000000,5214.000000,242.240000,234.800000,1307.000000
14.06.2019,10:17:04,274950.000000,5217.500000,242.300000,234.830000,1307.000000
14.06.2019,10:17:15,275000.000000,5217.500000,242.390000,235.060000,1307.000000
14.06.2019,10:17:25,275050.000000,5217.500000,242.470000,235.020000,1308.400000
14.06.2019,10:17:34,275050.000000,5217.500000,242.490000,235.010000,1308.400000
14.06.2019,10:17:45,275050.000000,5217.500000,242.450000,235.030000,1308.400000
14.06.2019,10:17:55,275025.000000,5217.000000,242.350000,234.830000,1308.600000
14.06.2019,10:18:05,275025.000000,5217.000000,242.370000,234.940000,1308.600000
14.06.2019,10:18:15,275000.000000,5220.000000,242.410000,234.940000,1308.600000
14.06.2019,10:18:25,275000.000000,5217.500000,242.380000,234.830000,1308.400000
14.06.2019,10:18:35,275025.000000,5217.500000,242.270000,234.930000,1312.000000
14.06.2019,10:18:45,274975.000000,5217.500000,242.080000,234.710000,1310.000000
14.06.2019,10:18:55,274850.000000,5218.000000,242.010000,234.500000,1308.600000
14.06.2019,10:19:05,274825.000000,5217.000000,241.890000,234.350000,1310.600000
14.06.2019,10:19:15,274850.000000,5217.000000,241.930000,234.500000,1309.400000
14.06.2019,10:19:25,274950.000000,5217.500000,242.150000,234.550000,1311.600000
14.06.2019,10:19:35,274925.000000,5217.500000,242.000000,234.530000,1311.800000
14.06.2019,10:19:45,274925.000000,5217.500000,242.000000,234.620000,1311.800000
14.06.2019,10:19:55,274925.000000,5216.000000,241.910000,234.530000,1311.800000
14.06.2019,10:20:05,274925.000000,5213.000000,242.000000,234.700000,1311.800000
14.06.2019,10:20:15,274850.000000,5212.000000,241.920000,234.600000,1312.000000
14.06.2019,10:20:25,274875.000000,5214.000000,241.970000,234.700000,1312.000000
14.06.2019,10:20:35,274900.000000,5214.000000,241.900000,234.790000,1312.000000
14.06.2019,10:20:45,274900.000000,5211.500000,241.900000,234.800000,1312.000000
14.06.2019,10:20:55,274900.000000,5214.000000,241.960000,234.770000,1312.000000
14.06.2019,10:21:05,274900.000000,5214.000000,241.990000,234.770000,1312.000000
14.06.2019,10:21:15,274900.000000,5214.000000,241.900000,234.700000,1312.000000
14.06.2019,10:21:25,274875.000000,5213.500000,241.840000,234.670000,1311.600000
14.06.2019,10:21:35,274800.000000,5210.000000,241.750000,234.640000,1311.000000
14.06.2019,10:21:45,274800.000000,5211.000000,241.840000,234.570000,1311.000000
14.06.2019,10:21:55,274800.000000,5211.000000,241.800000,234.570000,1311.000000
14.06.2019,10:22:06,274800.000000,5210.000000,241.670000,234.370000,1309.800000
14.06.2019,10:22:16,274750.000000,5210.000000,241.800000,234.470000,1309.600000
14.06.2019,10:22:26,274775.000000,5211.500000,241.890000,234.430000,1309.400000
14.06.2019,10:22:36,274800.000000,5211.500000,241.840000,234.430000,1309.400000
14.06.2019,10:22:46,274825.000000,5211.500000,241.950000,234.560000,1309.400000
14.06.2019,10:22:56,274900.000000,5211.500000,241.970000,234.640000,1309.400000
14.06.2019,10:23:06,274875.000000,5213.000000,242.180000,234.580000,1309.400000
14.06.2019,10:23:16,274875.000000,5213.500000,242.230000,234.650000,1309.400000
14.06.2019,10:23:26,275000.000000,5213.500000,242.330000,234.530000,1310.600000
14.06.2019,10:23:36,275000.000000,5213.500000,242.300000,234.660000,1310.600000
14.06.2019,10:23:46,274925.000000,5210.000000,242.040000,234.330000,1308.600000
14.06.2019,10:23:56,274825.000000,5210.000000,242.170000,234.490000,1307.600000
14.06.2019,10:24:06,274825.000000,5210.000000,242.150000,234.500000,1307.600000
14.06.2019,10:24:16,274825.000000,5210.000000,242.170000,234.500000,1309.000000
14.06.2019,10:24:26,274825.000000,5211.000000,242.120000,234.490000,1309.000000
14.06.2019,10:24:36,274825.000000,5211.000000,242.210000,234.510000,1309.000000
14.06.2019,10:24:46,274825.000000,5211.000000,242.190000,234.480000,1309.000000
14.06.2019,10:24:56,274900.000000,5211.000000,242.250000,234.450000,1309.000000
14.06.2019,10:25:06,274925.000000,5210.500000,242.260000,234.530000,1310.200000
14.06.2019,10:25:16,274925.000000,5207.500000,242.240000,234.530000,1311.000000
14.06.2019,10:25:26,274925.000000,5207.000000,242.180000,234.310000,1310.800000
14.06.2019,10:25:36,274900.000000,5208.000000,242.200000,234.300000,1310.200000
14.06.2019,10:25:46,274900.000000,5208.000000,242.220000,234.250000,1310.200000
14.06.2019,10:25:56,274925.000000,5208.000000,242.190000,234.370000,1310.200000
14.06.2019,10:26:06,274950.000000,5209.000000,242.320000,234.320000,1310.200000
14.06.2019,10:26:16,274975.000000,5209.000000,242.290000,234.450000,1311.600000
14.06.2019,10:26:26,275000.000000,5209.500000,242.250000,234.270000,1310.800000
14.06.2019,10:26:36,275000.000000,5210.000000,242.300000,234.280000,1310.800000
14.06.2019,10:26:46,275025.000000,5210.000000,242.420000,234.380000,1312.000000
14.06.2019,10:26:57,275025.000000,5209.000000,242.400000,234.380000,1312.000000
14.06.2019,10:27:07,275050.000000,5208.000000,242.400000,234.410000,1312.000000
14.06.2019,10:27:17,275075.000000,5209.500000,242.440000,234.400000,1312.000000
14.06.2019,10:27:27,275075.000000,5209.500000,242.450000,234.400000,1312.000000
14.06.2019,10:27:37,275050.000000,5208.500000,242.480000,234.310000,1312.000000
14.06.2019,10:27:47,275050.000000,5209.500000,242.540000,234.370000,1312.000000
14.06.2019,10:27:57,275075.000000,5209.500000,242.510000,234.250000,1312.000000
14.06.2019,10:28:07,275075.000000,5209.500000,242.510000,234.320000,1310.800000
14.06.2019,10:28:17,275150.000000,5211.500000,242.610000,234.320000,1310.800000
14.06.2019,10:28:27,275150.000000,5211.500000,242.600000,234.410000,1311.400000
14.06.2019,10:28:37,275150.000000,5210.500000,242.600000,234.430000,1311.400000
14.06.2019,10:28:47,275100.000000,5207.000000,242.500000,234.310000,1309.400000
14.06.2019,10:28:57,275000.000000,5207.500000,242.500000,234.310000,1311.400000
14.06.2019,10:29:07,274875.000000,5207.000000,242.400000,234.110000,1310.000000
14.06.2019,10:29:17,274875.000000,5207.000000,242.310000,234.000000,1309.800000
14.06.2019,10:29:27,274900.000000,5207.500000,242.300000,234.120000,1311.200000
14.06.2019,10:29:37,274975.000000,5208.000000,242.340000,234.100000,1311.200000
14.06.2019,10:29:47,274950.000000,5208.500000,242.330000,234.040000,1311.200000
14.06.2019,10:29:58,274900.000000,5208.500000,242.290000,234.150000,1311.200000
14.06.2019,10:30:08,274900.000000,5208.000000,242.290000,234.090000,1311.200000
14.06.2019,10:30:17,274900.000000,5208.000000,242.240000,234.090000,1309.200000
14.06.2019,10:30:27,274875.000000,5209.000000,242.310000,234.040000,1309.400000
14.06.2019,10:30:37,274850.000000,5209.000000,242.290000,234.100000,1309.400000
14.06.2019,10:30:47,274850.000000,5209.000000,242.340000,234.050000,1310.600000
14.06.2019,10:30:57,274950.000000,5208.500000,242.440000,234.100000,1311.600000
