INSTRUMENT_ID;SUPERTYPE;ISIN
5497;Акции иностранного фонда;IE00BD3QF110
5499;Акции иностранного фонда;IE00BD3QHZ91
5891;Акции иностранного фонда;IE00BL3DYX33
9305;Акции иностранного фонда;IE00BQ1Y6480
11737;Облигации;RU000A100907
12231;Облигации;RU000A100C23
12232;Облигации;RU000A100EL3
11651;Облигации;RU000A1000H5
12276;Облигации;RU000A100ER0
11461;Облигации;RU000A0ZZTK7
11895;Облигации;RU000A100AZ1
2724;Облигации;
2725;Облигации;
1177;Акции;RU000A0DPNQ5
5972;Облигации;RU000A0JUQ13
8641;Облигации;RU000A0JV8U4
9996;Облигации;RU000A0JXT17
8642;Облигации;RU000A0JVRM0
8643;Облигации;RU000A0JVLH3
338;Акции;RU0009011126
339;Акции;RU0009011134
265;Акции;RU0006753613
4663;Облигации;
4664;Облигации;
4665;Облигации;
